x	y	topsis
[7.938042339264474, 1.2376619479864461, 0.8581916663534644, 3.5551329921377124, 3.755260096312113]	[88.3333, -0.0268441, -5.25, -793.8042339264474]	0.7941384530284671
[7.12187325354639, 5.250080750591094, 2.081673067353706, 5.663514545414254, 2.2576197093046617]	[95.7143, -0.0283849, -4.6499999999999995, -712.187325354639]	0.8139043359010549
[2.0, 6.0, 4.0, 8.0, 0.0]	[56.8, -0.033028, -5.7, -200.0]	0.8870338531140783
[1.0, 0.0, 5.0, 8.0, 7.0]	[19.0, -0.0223747, -1000000.0, -100.0]	0.25659869400826213
[1.0, 7.0, 0.0, 3.0, 0.0]	[19.4, -0.022991, -1000000.0, -100.0]	0.2561167442796221
[10.0, 7.0, 5.0, 8.0, 1.0]	[94.0, -0.0287617, -5.38, -1000.0]	0.7488556525982252
[9.0, 7.0, 4.0, 7.0, 1.0]	[84.0, -0.0284927, -4.97, -900.0]	0.7681676625349035
[9.0, 0.0, 0.0, 8.0, 0.0]	[34.0, -0.0224703, -3.78, -900.0]	0.7471733809800816
[8.0, 0.0, 5.0, 4.0, 0.0]	[41.6667, -0.0248433, -3.78, -800.0]	0.7711550931242329
[10.0, 7.0, 0.0, 8.0, 7.0]	[82.0, -0.0274512, -24.44, -1000.0]	0.7472076952674794
[10.0, 5.0, 4.0, 3.0, 7.0]	[94.0, -0.0287233, -25.71, -1000.0]	0.7488736838064234
[10.0, 6.0, 4.0, 8.0, 0.0]	[66.0, -0.0267842, -4.33, -1000.0]	0.7426194254027577
[10.0, 2.0, 2.0, 6.0, 5.0]	[96.0, -0.0278007, -10.62, -1000.0]	0.7496422431424399
[4.0, 7.0, 3.0, 8.0, 4.0]	[100.0, -0.031858, -7.24, -400.0]	0.8882304995920446
[3.0, 7.0, 5.0, 6.0, 4.0]	[100.0, -0.0331108, -7.66, -300.0]	0.9077469581021982
[1.0, 7.0, 5.0, 8.0, 3.0]	[21.8, -0.0232015, -1000000.0, -100.0]	0.25641837096114517
[10.0, 7.0, 0.0, 8.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]	0.7450980257381669
[10.0, 7.0, 0.0, 5.0, 7.0]	[82.0, -0.0274512, -24.44, -1000.0]	0.7472076952674794
[10.0, 7.0, 1.0, 3.0, 1.0]	[70.0, -0.0270828, -4.23, -1000.0]	0.7438956768239227
[10.0, 7.0, 0.0, 3.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]	0.7450980257381669
[10.0, 7.0, 5.0, 3.0, 0.0]	[70.0, -0.0279865, -3.93, -1000.0]	0.7434631848490836
[10.0, 7.0, 0.0, 8.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]	0.7450980257381669
[10.0, 7.0, 5.0, 8.0, 0.0]	[80.0, -0.0274432, -4.42, -1000.0]	0.7467127303086781
[5.0, 7.0, 4.0, 5.0, 7.0]	[100.0, -0.0310261, -26.46, -500.0]	0.8645578476028281
[4.0, 5.0, 5.0, 4.0, 3.0]	[100.0, -0.0313269, -5.25, -400.0]	0.8896125870219089
[3.0, 3.0, 2.0, 8.0, 0.0]	[88.125, -0.031965, -3.9699999999999998, -300.0]	0.9084945174446059
[5.0, 4.0, 4.0, 6.0, 0.0]	[80.0, -0.0305352, -4.29, -500.0]	0.8594427068134292
[4.0, 5.0, 0.0, 8.0, 4.0]	[93.3333, -0.0297212, -6.47, -400.0]	0.8923933792383095
[6.0, 6.0, 3.0, 5.0, 4.0]	[98.75, -0.0292898, -7.05, -600.0]	0.84138697899723
[4.0, 7.0, 1.0, 8.0, 0.0]	[95.8333, -0.0302786, -4.0, -400.0]	0.8916977339976362
[7.0, 7.0, 5.0, 5.0, 5.0]	[100.0, -0.0293937, -10.05, -700.0]	0.8163869015679048
[5.0, 5.0, 2.0, 8.0, 2.0]	[85.0, -0.030497, -4.88, -500.0]	0.8619019716769041
[5.0, 4.0, 1.0, 8.0, 0.0]	[78.0, -0.0310247, -4.0, -500.0]	0.8574783616560928
[3.0, 7.0, 1.0, 7.0, 7.0]	[92.5, -0.0332471, -28.88, -300.0]	0.9057841784717238
[4.0, 3.0, 0.0, 6.0, 7.0]	[85.0, -0.0285442, -26.53, -400.0]	0.891343251154421
[2.0, 0.0, 0.0, 6.0, 3.0]	[46.8, -0.0262739, -5.37, -200.0]	0.8851364323099286
[3.0, 0.0, 2.0, 3.0, 7.0]	[79.375, -0.0319468, -26.849999999999998, -300.0]	0.9024469503351853
