x	y
[6.468408384923024, 4.36761352132708, 2.1673845661546967, 4.133972213682604, 0.930910898308356]	[88.5714, -0.0272558, -4.09, -646.8408384923024]
[6.615573915287422, 3.9785216436724853, 3.713523651998236, 6.959741473084579, 5.507790933202683]	[100.0, -0.0293348, -10.7, -661.5573915287422]
[3.0, 0.0, 0.0, 5.0, 6.0]	[68.125, -0.0288277, -15.33, -300.0]
[5.0, 4.0, 2.0, 4.0, 1.0]	[83.0, -0.0296765, -4.17, -500.0]
[7.0, 4.0, 2.0, 4.0, 5.0]	[98.5714, -0.0284395, -9.459999999999999, -700.0]
[6.0, 5.0, 2.0, 4.0, 1.0]	[95.0, -0.0300966, -4.3, -600.0]
[2.0, 6.0, 2.0, 7.0, 2.0]	[52.4, -0.0348079, -5.720000000000001, -200.0]
[10.0, 3.0, 5.0, 3.0, 1.0]	[80.0, -0.0289369, -4.84, -1000.0]
[8.0, 4.0, 2.0, 4.0, 2.0]	[95.0, -0.0285506, -5.33, -800.0]
[8.0, 4.0, 2.0, 5.0, 0.0]	[85.0, -0.0271317, -4.0, -800.0]
[10.0, 5.0, 3.0, 5.0, 7.0]	[98.0, -0.0278557, -25.47, -1000.0]
[7.0, 2.0, 3.0, 5.0, 5.0]	[97.1429, -0.0292031, -10.16, -700.0]
[8.0, 1.0, 5.0, 8.0, 7.0]	[100.0, -0.0289985, -29.39, -800.0]
[6.0, 2.0, 1.0, 3.0, 5.0]	[91.25, -0.0286577, -9.5, -600.0]
[9.0, 4.0, 0.0, 3.0, 7.0]	[82.0, -0.0274512, -24.44, -900.0]
[10.0, 1.0, 0.0, 3.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]
[10.0, 5.0, 0.0, 3.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]
[5.0, 4.0, 5.0, 3.0, 7.0]	[97.0, -0.0293533, -25.99, -500.0]
[5.0, 3.0, 3.0, 3.0, 6.0]	[88.0, -0.0307899, -16.41, -500.0]
[7.0, 4.0, 5.0, 6.0, 7.0]	[100.0, -0.029455, -28.389999999999997, -700.0]
[7.0, 4.0, 3.0, 5.0, 4.0]	[98.5714, -0.029545, -7.57, -700.0]
[10.0, 3.0, 2.0, 6.0, 4.0]	[94.0, -0.0282265, -8.13, -1000.0]
[6.0, 3.0, 1.0, 4.0, 4.0]	[88.75, -0.0280536, -6.590000000000001, -600.0]
[10.0, 6.0, 5.0, 8.0, 4.0]	[100.0, -0.0287495, -8.040000000000001, -1000.0]
