x	y	topsis
[6.732367479042865, 2.952486078002666, 2.8715127416307515, 6.142759854370248, 6.017010264459377]	[100.0, -0.0294024, -15.25, -673.2367479042865]	0.8912108476111891
[8.606052686892816, 3.733462638318491, 0.6913846255120332, 7.807256377289248, 0.1273611474105848]	[72.0, -0.0257558, -4.01, -860.6052686892816]	0.8599083768661239
[1.0, 7.0, 0.0, 8.0, 0.0]	[19.4, -0.022991, -1000000.0, -100.0]	0.16374824495688495
[10.0, 0.0, 5.0, 3.0, 0.0]	[20.0, -0.0277996, -4.15, -1000.0]	0.8262438806211985
[9.0, 1.0, 5.0, 3.0, 7.0]	[100.0, -0.0284763, -25.8, -900.0]	0.8556736376547215
[10.0, 0.0, 0.0, 8.0, 7.0]	[80.0, -0.0268904, -23.830000000000002, -1000.0]	0.8399075945841612
[10.0, 7.0, 5.0, 8.0, 7.0]	[100.0, -0.02851, -26.020000000000003, -1000.0]	0.8406895468380255
[10.0, 7.0, 0.0, 3.0, 7.0]	[82.0, -0.0274512, -24.44, -1000.0]	0.8399805880438218
[10.0, 0.0, 5.0, 8.0, 7.0]	[100.0, -0.02851, -26.020000000000003, -1000.0]	0.8406895468380255
[10.0, 0.0, 0.0, 3.0, 3.0]	[74.0, -0.0255276, -5.13, -1000.0]	0.8394595815419654
[10.0, 4.0, 3.0, 6.0, 4.0]	[100.0, -0.0285275, -8.540000000000001, -1000.0]	0.840686976856667
[10.0, 1.0, 2.0, 5.0, 7.0]	[100.0, -0.0277918, -25.87, -1000.0]	0.8408797190686647
[10.0, 7.0, 5.0, 3.0, 7.0]	[100.0, -0.0284763, -25.8, -1000.0]	0.840698956830173
[10.0, 0.0, 3.0, 8.0, 1.0]	[40.0, -0.0272097, -4.23, -1000.0]	0.83233980545306
[10.0, 4.0, 3.0, 6.0, 7.0]	[98.0, -0.0284702, -25.51, -1000.0]	0.8406637926939265
[10.0, 0.0, 0.0, 3.0, 7.0]	[80.0, -0.0268904, -23.830000000000002, -1000.0]	0.8399075945841612
[10.0, 3.0, 0.0, 6.0, 4.0]	[70.0, -0.0259177, -6.36, -1000.0]	0.8388387373545101
[1.0, 0.0, 5.0, 3.0, 7.0]	[17.2, -0.0222046, -1000000.0, -100.0]	0.1642172464490047
[10.0, 5.0, 2.0, 8.0, 7.0]	[100.0, -0.02851, -26.020000000000003, -1000.0]	0.8406895468380255
[10.0, 3.0, 3.0, 5.0, 7.0]	[98.0, -0.0278557, -25.47, -1000.0]	0.8408268031462423
[10.0, 3.0, 3.0, 6.0, 5.0]	[100.0, -0.0285579, -11.45, -1000.0]	0.8406780690201435
[10.0, 7.0, 2.0, 3.0, 0.0]	[66.0, -0.026934, -3.9699999999999998, -1000.0]	0.8380196053621455
[10.0, 7.0, 5.0, 8.0, 0.0]	[80.0, -0.0274432, -4.42, -1000.0]	0.8397863569930369
[10.0, 4.0, 4.0, 6.0, 7.0]	[100.0, -0.0285687, -25.78, -1000.0]	0.8406731312973983
[6.0, 2.0, 3.0, 8.0, 7.0]	[100.0, -0.0299153, -26.849999999999998, -600.0]	0.903015679647798
[7.0, 4.0, 5.0, 8.0, 5.0]	[100.0, -0.0287014, -10.42, -700.0]	0.8871796756138823
[10.0, 5.0, 5.0, 3.0, 2.0]	[82.0, -0.0282461, -4.96, -1000.0]	0.839783372452531
[7.0, 3.0, 3.0, 8.0, 5.0]	[100.0, -0.0287014, -10.42, -700.0]	0.8871796756138823
[6.0, 5.0, 4.0, 8.0, 7.0]	[100.0, -0.0299153, -26.849999999999998, -600.0]	0.903015679647798
[10.0, 3.0, 0.0, 3.0, 0.0]	[72.0, -0.0257558, -4.01, -1000.0]	0.8391532046789419
[7.0, 3.0, 4.0, 8.0, 7.0]	[100.0, -0.0295022, -28.56, -700.0]	0.8867884260864701
[6.0, 3.0, 1.0, 8.0, 7.0]	[97.5, -0.0297033, -28.96, -600.0]	0.9031018385634387
[6.0, 5.0, 2.0, 7.0, 7.0]	[100.0, -0.0292266, -27.3, -600.0]	0.9034518806864543
[6.0, 4.0, 2.0, 8.0, 7.0]	[100.0, -0.029958, -29.12, -600.0]	0.9029872135354384
[6.0, 7.0, 5.0, 7.0, 7.0]	[100.0, -0.0298471, -28.27, -600.0]	0.9030604153181577
[7.0, 7.0, 4.0, 7.0, 5.0]	[100.0, -0.0287056, -10.42, -700.0]	0.8871777422516628
[10.0, 0.0, 0.0, 8.0, 0.0]	[34.0, -0.0224703, -3.78, -1000.0]	0.8312698937744674
[7.0, 7.0, 3.0, 6.0, 7.0]	[98.5714, -0.0295792, -26.169999999999998, -700.0]	0.8867264186145888
[7.0, 2.0, 2.0, 7.0, 7.0]	[98.5714, -0.0294627, -27.040000000000003, -700.0]	0.886786163946956
