x	y
[1.3057628489824338, 6.611212306253484, 1.943224416004905, 7.1598791089966545, 0.08866817698929208]	[29.7368, -0.0339825, -5.23, -130.5762848982434]
[5.328939749420359, 3.34134137691072, 3.315894599939355, 7.420860191675894, 3.82383954166871]	[96.6667, -0.0299877, -5.29, -532.8939749420359]
[5.0, 4.0, 3.0, 8.0, 4.0]	[99.0, -0.0308704, -7.85, -500.0]
[8.0, 1.0, 4.0, 8.0, 7.0]	[100.0, -0.0289985, -29.39, -800.0]
[10.0, 0.0, 5.0, 3.0, 7.0]	[96.0, -0.0283781, -26.29, -1000.0]
[10.0, 0.0, 0.0, 5.0, 7.0]	[80.0, -0.0268904, -23.830000000000002, -1000.0]
[10.0, 7.0, 5.0, 5.0, 7.0]	[100.0, -0.0287692, -27.55, -1000.0]
[1.0, 0.0, 5.0, 3.0, 7.0]	[17.2, -0.0222046, -1000000.0, -100.0]
[10.0, 0.0, 5.0, 8.0, 1.0]	[38.0, -0.028724, -4.590000000000001, -1000.0]
[2.0, 0.0, 2.0, 6.0, 7.0]	[55.6, -0.033207, -28.830000000000002, -200.0]
[9.0, 3.0, 4.0, 6.0, 7.0]	[100.0, -0.0285687, -25.78, -900.0]
[5.0, 3.0, 5.0, 3.0, 7.0]	[97.0, -0.0293533, -25.99, -500.0]
[10.0, 4.0, 2.0, 3.0, 7.0]	[94.0, -0.0285119, -25.87, -1000.0]
[10.0, 5.0, 1.0, 8.0, 7.0]	[98.0, -0.0284168, -26.110000000000003, -1000.0]
[7.0, 6.0, 5.0, 8.0, 7.0]	[100.0, -0.0295022, -28.56, -700.0]
[1.0, 7.0, 5.0, 3.0, 7.0]	[21.4, -0.0232339, -1000000.0, -100.0]
[1.0, 0.0, 5.0, 3.0, 3.0]	[18.2, -0.0224648, -1000000.0, -100.0]
[10.0, 7.0, 5.0, 3.0, 2.0]	[82.0, -0.0282461, -4.96, -1000.0]
[10.0, 0.0, 0.0, 3.0, 1.0]	[34.0, -0.0225301, -3.92, -1000.0]
[1.0, 3.0, 5.0, 3.0, 5.0]	[21.2, -0.0227272, -1000000.0, -100.0]
[10.0, 7.0, 0.0, 5.0, 7.0]	[82.0, -0.0274512, -24.44, -1000.0]
[6.0, 0.0, 5.0, 3.0, 3.0]	[97.5, -0.0281311, -5.26, -600.0]
[6.0, 3.0, 5.0, 3.0, 3.0]	[98.75, -0.0292734, -5.44, -600.0]
[10.0, 0.0, 3.0, 3.0, 3.0]	[72.0, -0.0268666, -5.38, -1000.0]
[3.0, 0.0, 5.0, 3.0, 5.0]	[89.375, -0.0330554, -9.549999999999999, -300.0]
[5.0, 1.0, 5.0, 3.0, 1.0]	[87.0, -0.0299203, -4.35, -500.0]
[2.0, 3.0, 5.0, 3.0, 5.0]	[60.4, -0.0331545, -11.04, -200.0]
[7.0, 1.0, 5.0, 6.0, 5.0]	[98.5714, -0.0294189, -10.66, -700.0]
[3.0, 7.0, 4.0, 6.0, 5.0]	[99.375, -0.0337577, -12.21, -300.0]
[7.0, 1.0, 5.0, 6.0, 5.0]	[98.5714, -0.0294189, -10.66, -700.0]
[10.0, 1.0, 4.0, 5.0, 4.0]	[98.0, -0.0284601, -7.7299999999999995, -1000.0]
[8.0, 0.0, 0.0, 6.0, 5.0]	[86.6667, -0.0271344, -9.180000000000001, -800.0]
[3.0, 5.0, 5.0, 5.0, 0.0]	[97.5, -0.0328759, -4.029999999999999, -300.0]
